                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1926,                 6.0736,                 4.0561,                 0.0002,                0.04033,                0.00011,                  3e-05,                 4.6441,                 4.6497,                 4.2062,             0.00054988,             0.00054988,             0.00054988
                      2,                 3.1399,                 4.4161,                  3.204,                0.04699,                0.05129,                0.01927,                0.00543,                 3.0737,                 4.0057,                 3.1395,              0.0010946,              0.0010946,              0.0010946
                      3,                 2.8702,                 3.6809,                 2.7414,                0.15601,                0.18491,                0.09802,                0.03218,                 2.8169,                 3.5975,                 2.7806,              0.0016283,              0.0016283,              0.0016283
                      4,                 2.6635,                 3.0349,                 2.5251,                  0.723,                0.16286,                0.18754,                0.06378,                 2.5954,                 2.7695,                  2.535,              0.0016175,              0.0016175,              0.0016175
                      5,                  2.527,                 2.7095,                 2.3677,                0.44459,                0.22723,                0.23041,                0.08179,                 2.4839,                 9.0559,                 2.5223,               0.001601,               0.001601,               0.001601
                      6,                 2.4289,                 2.4462,                 2.2961,                0.40507,                0.39873,                0.37758,                0.13786,                  2.284,                 2.0508,                 2.2088,              0.0015845,              0.0015845,              0.0015845
                      7,                 2.3444,                 2.2885,                    2.2,                0.54034,                0.44445,                0.47007,                0.19172,                 2.1251,                 1.8146,                  2.063,               0.001568,               0.001568,               0.001568
                      8,                 2.2491,                 2.1005,                 2.1275,                0.62076,                0.48552,                0.52723,                0.22394,                 2.0697,                 1.8392,                 2.0309,              0.0015515,              0.0015515,              0.0015515
                      9,                 2.1613,                 1.9161,                 1.9946,                0.60645,                0.45206,                0.50756,                 0.2203,                 2.0725,                 1.9354,                 1.9972,               0.001535,               0.001535,               0.001535
                     10,                 2.1352,                 1.8908,                 1.9634,                0.66695,                0.52603,                0.60182,                0.26376,                 1.9971,                 1.7804,                 1.9189,              0.0015185,              0.0015185,              0.0015185
                     11,                 2.1036,                 1.8558,                 1.9129,                0.51711,                0.49074,                0.52832,                0.22204,                 2.0368,                 1.8119,                 1.9709,               0.001502,               0.001502,               0.001502
                     12,                 2.0459,                 1.8155,                 1.9122,                0.58141,                0.41949,                 0.4539,                0.19484,                 2.0036,                  1.895,                 1.9539,              0.0014855,              0.0014855,              0.0014855
                     13,                 2.0252,                 1.7769,                 1.8516,                0.69278,                0.59146,                0.66212,                 0.2861,                 1.9437,                 1.5423,                 1.8367,               0.001469,               0.001469,               0.001469
                     14,                 2.0545,                 1.7097,                 1.8924,                0.77343,                0.62234,                0.70621,                0.31455,                 1.8858,                 1.4739,                 1.8051,              0.0014525,              0.0014525,              0.0014525
