                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7545,                 2.8543,                 1.2857,                0.71199,                0.51694,                0.59652,                0.25453,                  1.718,                 2.2744,                 1.2986,             0.00055062,             0.00055062,             0.00055062
                      2,                 1.7012,                 1.9925,                 1.2781,                0.68064,                0.60417,                0.65746,                0.29255,                 1.7332,                 1.8157,                 1.3465,              0.0011026,              0.0011026,              0.0011026
                      3,                 1.7405,                 1.8546,                 1.3205,                0.63147,                0.73332,                0.70664,                0.32221,                 1.7023,                 1.7235,                 1.3286,               0.001651,               0.001651,               0.001651
                      4,                  1.765,                 1.7213,                 1.3334,                0.83091,                0.77946,                0.82423,                 0.3817,                 1.6373,                 1.1545,                 1.2607,              0.0016505,              0.0016505,              0.0016505
                      5,                 1.7397,                 1.4427,                 1.2882,                 0.8007,                 0.7451,                0.78269,                0.35276,                 1.7276,                 1.1641,                 1.3143,               0.001645,               0.001645,               0.001645
                      6,                  1.728,                 1.3364,                 1.3097,                  0.823,                0.76897,                0.83925,                0.42988,                 1.6121,                  1.044,                  1.269,              0.0016395,              0.0016395,              0.0016395
                      7,                 1.7171,                 1.2882,                 1.3183,                0.83943,                0.79221,                0.84929,                0.41471,                 1.6285,                 1.0511,                    1.3,               0.001634,               0.001634,               0.001634
                      8,                 1.7072,                 1.2342,                 1.2855,                0.86933,                0.82283,                0.87378,                0.42481,                 1.6402,                 1.0171,                  1.259,              0.0016285,              0.0016285,              0.0016285
                      9,                 1.6725,                  1.141,                 1.2627,                0.84048,                0.82972,                0.87737,                0.43751,                  1.583,                0.98846,                 1.2464,               0.001623,               0.001623,               0.001623
                     10,                 1.6681,                 1.1523,                 1.2844,                0.89606,                0.82455,                0.88718,                0.42716,                 1.6497,                0.96021,                 1.2838,              0.0016175,              0.0016175,              0.0016175
                     11,                 1.6408,                 1.0571,                 1.2675,                0.83652,                0.82682,                0.84952,                0.40031,                 1.6114,                 1.0106,                 1.2623,               0.001612,               0.001612,               0.001612
                     12,                 1.6337,                  1.086,                 1.2531,                0.89838,                0.82156,                0.88531,                0.43249,                 1.5933,                0.94868,                 1.2428,              0.0016065,              0.0016065,              0.0016065
                     13,                 1.6434,                 1.0498,                 1.2618,                0.84777,                0.81044,                 0.8776,                0.43595,                 1.5824,                 1.0932,                 1.2431,               0.001601,               0.001601,               0.001601
                     14,                 1.6254,                 1.0442,                 1.2451,                0.84845,                0.84357,                0.88024,                0.45149,                 1.5671,                0.91087,                  1.222,              0.0015955,              0.0015955,              0.0015955
                     15,                 1.6228,                 1.0127,                 1.2376,                0.84073,                0.81261,                0.83153,                0.40187,                 1.6577,                0.97373,                 1.2678,                0.00159,                0.00159,                0.00159
                     16,                 1.6237,                0.99825,                 1.2591,                0.85976,                0.85476,                0.89018,                 0.4645,                 1.5377,                0.91344,                 1.2265,              0.0015845,              0.0015845,              0.0015845
                     17,                 1.5962,                0.95821,                  1.239,                0.87848,                0.85833,                0.89694,                0.46217,                 1.5515,                 0.8768,                 1.2178,               0.001579,               0.001579,               0.001579
                     18,                 1.6014,                0.98295,                 1.2198,                0.84241,                0.87429,                0.89605,                 0.4676,                 1.5567,                0.90736,                 1.2132,              0.0015735,              0.0015735,              0.0015735
                     19,                 1.5932,                0.99122,                 1.2389,                0.91495,                0.84461,                0.90647,                0.44488,                 1.5955,                0.87533,                 1.2505,               0.001568,               0.001568,               0.001568
                     20,                 1.5933,                0.96454,                 1.2409,                0.87642,                0.84963,                0.90582,                0.45681,                  1.542,                 0.9196,                 1.2254,              0.0015625,              0.0015625,              0.0015625
                     21,                 1.6004,                0.96241,                 1.2265,                0.89426,                 0.8704,                0.91894,                0.47639,                 1.5161,                0.83753,                 1.1928,               0.001557,               0.001557,               0.001557
                     22,                 1.6093,                0.95454,                 1.2413,                0.90552,                0.86821,                0.91571,                0.45535,                 1.5478,                0.81187,                 1.2099,              0.0015515,              0.0015515,              0.0015515
                     23,                 1.5687,                 0.9255,                 1.2228,                0.91618,                 0.8703,                0.92136,                0.49588,                 1.4884,                0.79122,                  1.191,               0.001546,               0.001546,               0.001546
                     24,                 1.5336,                0.92116,                 1.2158,                0.90893,                0.87745,                0.91467,                0.49395,                 1.4988,                0.80701,                 1.1936,              0.0015405,              0.0015405,              0.0015405
                     25,                 1.5401,                0.94722,                 1.2002,                0.91324,                0.90124,                0.93147,                0.49411,                 1.4739,                0.80608,                 1.1829,               0.001535,               0.001535,               0.001535
                     26,                 1.5547,                0.90798,                 1.2202,                0.91333,                0.89701,                0.92969,                0.50164,                 1.4568,                0.77277,                 1.1708,              0.0015295,              0.0015295,              0.0015295
                     27,                    1.6,                0.90692,                  1.222,                0.92693,                 0.8866,                0.92693,                0.49339,                 1.5054,                0.79382,                 1.1904,               0.001524,               0.001524,               0.001524
                     28,                 1.5425,                0.89594,                 1.2322,                0.90972,                0.88821,                0.92076,                0.48953,                 1.5053,                0.79246,                 1.2014,              0.0015185,              0.0015185,              0.0015185
                     29,                 1.5381,                0.88955,                 1.2226,                0.92455,                0.87637,                0.92352,                0.49723,                 1.4809,                0.80446,                 1.1756,               0.001513,               0.001513,               0.001513
                     30,                 1.5772,                 0.9107,                 1.2149,                0.91568,                0.88611,                0.92396,                 0.5042,                 1.4901,                0.77331,                 1.1883,              0.0015075,              0.0015075,              0.0015075
                     31,                 1.5617,                0.87478,                 1.2099,                0.92363,                0.89481,                0.91566,                0.47859,                  1.498,                0.77443,                 1.1915,               0.001502,               0.001502,               0.001502
                     32,                 1.5419,                0.90052,                 1.2139,                0.90085,                0.90025,                0.92747,                0.51527,                 1.4489,                 0.7909,                 1.1652,              0.0014965,              0.0014965,              0.0014965
                     33,                  1.541,                0.89797,                 1.2033,                0.93492,                 0.9113,                0.94186,                0.51692,                 1.4507,                0.74602,                 1.1694,               0.001491,               0.001491,               0.001491
                     34,                 1.5158,                 0.8552,                 1.2126,                0.94682,                0.90648,                0.94372,                0.50337,                 1.5179,                0.73197,                 1.2039,              0.0014855,              0.0014855,              0.0014855
                     35,                 1.5188,                0.85518,                 1.2031,                0.94211,                 0.8935,                0.94119,                0.52425,                 1.4407,                0.72338,                 1.1676,                0.00148,                0.00148,                0.00148
                     36,                 1.5065,                0.82198,                 1.1872,                0.93699,                  0.897,                 0.9316,                0.50248,                 1.4674,                0.73353,                 1.1755,              0.0014745,              0.0014745,              0.0014745
                     37,                  1.489,                0.80995,                 1.2036,                0.93501,                0.90217,                0.93297,                0.51583,                 1.4472,                0.71928,                 1.1812,               0.001469,               0.001469,               0.001469
                     38,                 1.5103,                0.83906,                 1.2014,                0.93713,                0.90646,                0.94718,                0.52612,                 1.4149,                 0.6912,                 1.1595,              0.0014635,              0.0014635,              0.0014635
                     39,                 1.4884,                0.84397,                  1.181,                0.93843,                0.90717,                0.94795,                0.50578,                 1.5132,                0.72371,                 1.1965,               0.001458,               0.001458,               0.001458
                     40,                 1.5081,                0.82437,                 1.1799,                0.93986,                 0.9138,                 0.9455,                0.51989,                 1.4542,                  0.721,                 1.1729,              0.0014525,              0.0014525,              0.0014525
                     41,                 1.5019,                0.82995,                 1.1929,                0.94108,                0.90313,                0.94144,                0.53008,                 1.4363,                0.70383,                 1.1585,               0.001447,               0.001447,               0.001447
                     42,                 1.4735,                0.81806,                 1.1869,                0.93452,                0.91248,                0.94959,                0.53113,                 1.4156,                0.70079,                 1.1498,              0.0014415,              0.0014415,              0.0014415
                     43,                  1.473,                 0.7939,                 1.1772,                0.95471,                0.91543,                0.94969,                0.52656,                 1.4087,                0.69299,                 1.1478,               0.001436,               0.001436,               0.001436
                     44,                 1.4595,                 0.8179,                 1.1666,                0.94626,                0.90133,                0.94314,                 0.5195,                  1.456,                0.70291,                 1.1614,              0.0014305,              0.0014305,              0.0014305
                     45,                 1.4792,                0.81358,                 1.1685,                0.94104,                0.93604,                0.95281,                0.53218,                  1.398,                0.70614,                 1.1527,               0.001425,               0.001425,               0.001425
                     46,                 1.4926,                0.80698,                 1.2016,                0.93989,                0.91139,                 0.9473,                 0.5309,                 1.4293,                0.68773,                 1.1634,              0.0014195,              0.0014195,              0.0014195
                     47,                  1.484,                 0.7941,                 1.1736,                0.94307,                0.92359,                0.94837,                0.53299,                 1.4246,                0.67695,                 1.1461,              0.0014139,              0.0014139,              0.0014139
                     48,                 1.4463,                0.78306,                 1.1647,                0.94242,                0.92832,                0.95615,                0.54219,                 1.3892,                0.67608,                 1.1329,              0.0014084,              0.0014084,              0.0014084
                     49,                  1.461,                0.80286,                 1.1697,                 0.9392,                0.94006,                0.95425,                0.53073,                 1.3765,                 0.6617,                 1.1298,              0.0014029,              0.0014029,              0.0014029
