                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6948,                 2.7759,                 1.2894,                0.84805,                0.24998,                0.63417,                0.29071,                 1.6143,                 2.5035,                 1.2373,             0.00054988,             0.00054988,             0.00054988
                      2,                 1.6651,                 1.9898,                 1.3127,                0.78106,                0.76406,                0.80034,                0.39353,                 1.6092,                 1.5324,                 1.3078,              0.0010946,              0.0010946,              0.0010946
                      3,                 1.7391,                 1.8075,                 1.3288,                0.62758,                0.71656,                0.73317,                0.31824,                 1.7332,                 1.7687,                  1.431,              0.0016283,              0.0016283,              0.0016283
                      4,                 1.7278,                 1.6319,                 1.3386,                0.82752,                0.75504,                0.85398,                0.41693,                 1.6577,                 1.2334,                 1.3566,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.7254,                  1.491,                 1.3383,                0.81408,                0.84079,                0.86763,                0.41058,                 1.6011,                 1.1444,                 1.3139,               0.001601,               0.001601,               0.001601
                      6,                 1.6721,                 1.3735,                 1.3206,                0.78668,                0.78877,                0.84284,                0.40896,                 1.5854,                 1.1083,                 1.3017,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.6919,                 1.3088,                 1.3335,                0.85332,                0.83213,                0.90731,                0.44218,                  1.602,                 1.0163,                 1.2939,               0.001568,               0.001568,               0.001568
                      8,                 1.6464,                  1.217,                 1.3152,                0.89886,                0.90303,                0.95025,                0.48491,                 1.5472,                0.96986,                 1.2565,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.5954,                 1.0898,                 1.2537,                0.89623,                0.86666,                0.92425,                0.45042,                  1.599,                0.95469,                 1.2644,               0.001535,               0.001535,               0.001535
                     10,                 1.6305,                 1.1125,                 1.2769,                0.82851,                0.86316,                0.89452,                0.41208,                 1.6477,                0.95502,                 1.3224,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.6302,                 1.0911,                 1.2882,                0.90224,                0.89887,                0.94374,                 0.4791,                 1.5662,                0.89135,                 1.2562,               0.001502,               0.001502,               0.001502
                     12,                 1.6286,                 1.1278,                 1.2679,                0.85403,                0.92548,                0.91513,                0.45994,                 1.5632,                0.96918,                  1.255,              0.0014855,              0.0014855,              0.0014855
                     13,                   1.63,                 1.0778,                 1.2611,                0.91497,                0.87604,                0.94319,                0.47941,                 1.5621,                0.91371,                 1.2432,               0.001469,               0.001469,               0.001469
                     14,                 1.6091,                 1.0478,                 1.2713,                   0.93,                0.92422,                 0.9661,                0.50226,                 1.5513,                0.83472,                  1.224,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.5887,                0.99697,                 1.2556,                0.91397,                0.92144,                0.95946,                0.50779,                 1.5139,                0.82267,                 1.2304,               0.001436,               0.001436,               0.001436
                     16,                 1.5964,                0.99099,                 1.2653,                0.91306,                0.91398,                0.95297,                0.49241,                  1.521,                0.82663,                 1.2412,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.5951,                0.99978,                 1.2546,                0.90366,                0.92511,                 0.9611,                0.51544,                 1.4988,                0.82054,                 1.2303,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.5746,                0.95984,                 1.2408,                0.91211,                0.92342,                0.95966,                0.49278,                 1.5459,                0.80963,                  1.232,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.5635,                0.96318,                 1.2429,                0.90418,                0.92448,                0.96007,                0.51453,                 1.4951,                0.85437,                 1.2211,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.5442,                0.95261,                 1.2548,                 0.9259,                 0.9433,                0.95785,                0.50399,                 1.4897,                 0.7919,                 1.2235,              0.0013534,              0.0013534,              0.0013534
                     21,                  1.516,                 0.8886,                 1.2125,                0.93646,                0.92656,                0.96896,                0.52123,                 1.5122,                0.77454,                 1.2213,              0.0013369,              0.0013369,              0.0013369
